_id,rsn,year_registered,year_evaluated,year_built,property_type,ward,wardname,site_address,confirmed_storeys,confirmed_units,evaluation_completed_on,score,results_of_score,no_of_areas_evaluated,entrance_lobby,entrance_doors_windows,security,stairwells,laundry_rooms,internal_guards_handrails,garbage_chute_rooms,garbage_bin_storage_area,elevators,storage_areas_lockers,interior_wall_ceiling_floor,interior_lighting_levels,graffiti,exterior_cladding,exterior_grounds,exterior_walkways,balcony_guards,water_pen_ext_bldg_elements,parking_area,other_facilities,grid,latitude,longitude,x,y
1,4304347,,,1999,PRIVATE,2,Etobicoke Centre,** CREATED IN ERROR ** 399 THE WEST MALL,22,22,2023-05-30,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,W0233,43.6437806,-79.56545608,299503.625,4833538.964
2,5156815,2023,,1973,TCHC,17,Don Valley North,15 FIELD SPARROWAY,4,16,2023-02-24,80,Evaluation needs to be conducted in 2 years,16,4,3,5,3,,4,,5,,,3,5,5,3,3,5,5,4,3,4,N1721,43.79114346,-79.36881993,315333.193,4849916.905
3,5156814,2023,,1973,TCHC,17,Don Valley North,13 FIELD SPARROWAY,4,16,2023-02-24,81,Evaluation needs to be conducted in 2 years,16,4,3,5,3,,4,,5,,,3,5,5,4,4,4,5,4,3,4,N1721,43.79091958,-79.36877075,315334.815,4849906.373
4,5157421,2023,,1973,TCHC,17,Don Valley North,6 TREE SPARROWAY,4,16,2023-02-24,83,Evaluation needs to be conducted in 2 years,16,4,3,5,4,,4,,5,,,4,5,5,5,3,3,5,4,3,4,N1721,43.7913842,-79.36963048,315272.148,4849932.515
5,5156871,2023,,1973,TCHC,17,Don Valley North,2 TREE SPARROWAY,4,16,2023-02-24,76,Evaluation needs to be conducted in 2 years,16,4,3,4,3,,4,,4,,,2,5,3,5,3,5,5,4,3,4,N1721,43.79151143,-79.36904536,315330.308,4849947.465
6,5157387,2023,,1973,TCHC,17,Don Valley North,4 TREE SPARROWAY,4,16,2023-02-24,79,Evaluation needs to be conducted in 2 years,16,5,3,5,3,,4,,5,,,3,5,3,5,3,3,5,4,3,4,N1721,43.79144781,-79.3693324,315291.755,4849938.162
7,5157423,,,1973,TCHC,17,Don Valley North,8 TREE SPARROWAY,4,16,2023-02-23,79,Evaluation needs to be conducted in 2 years,15,4,3,5,3,,4,,,,,3,5,5,5,3,3,5,4,3,4,N1721,43.79132458,-79.36992856,315254.077,4849928.842
8,5186997,,,2019,PRIVATE,12,Toronto-St. Paul's,200 MADISON AVE,6,82,2023-01-31,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,S1237,43.67644202,-79.40681299,312299.706,4837164.375
9,5156142,2023,,1889,PRIVATE,13,Toronto Centre,109 PEMBROKE ST,4,20,2023-01-27,67,Evaluation needs to be conducted in 2 years,14,3,4,3,3,2,3,,4,,,3,3,5,3,3,4,,4,,,S1328,43.66012021,-79.37282783,315041.504,4835359.918
10,5118732,2022,,2021,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-01-27,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1330,,,316225.666,4835308.898
11,5132414,2022,,2018,PRIVATE,11,University-Rosedale,55 GERRARD ST W,43,595,2023-01-24,99,Evaluation needs to be conducted in 3 years,19,5,5,5,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1145,43.65844374,-79.38399672,314140.697,4835173.342
12,5156008,2022,,1885,PRIVATE,9,Davenport,267 BROCK AVE,3,11,2023-01-24,73,Evaluation needs to be conducted in 2 years,14,3,3,4,4,,4,,5,5,,3,4,3,2,4,3,,4,,,S0936,43.6494507,-79.43510565,310019.153,4834169.75
13,5156127,2022,,1972,PRIVATE,13,Toronto Centre,33 WOOD ST,30,240,2023-01-24,93,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,S1326,43.66234112,-79.38143269,314346.855,4835606.614
